noun,count,title
일주일,489,교회오빠
아내,489,교회오빠
혈액암,489,교회오빠
잠시,489,교회오빠
틈,489,교회오빠
고난,489,교회오빠
부부,489,교회오빠
희망,489,교회오빠
오리,458,구스 베이비
엄마,458,구스 베이비
혼자,458,구스 베이비
구스,458,구스 베이비
남매,458,구스 베이비
모험,229,구스 베이비
오해,229,구스 베이비
도키,229,구스 베이비
세상,229,구스 베이비
혹,229,구스 베이비
야생,229,구스 베이비
시작,229,구스 베이비
무턱,229,구스 베이비
지배자,229,구스 베이비
반조,229,구스 베이비
뒤,229,구스 베이비
대고,229,구스 베이비
플레이,229,구스 베이비
오키,229,구스 베이비
제안,229,구스 베이비
팀,229,구스 베이비
아기,229,구스 베이비
보송보송,229,구스 베이비
라이프,229,구스 베이비
실력,229,구스 베이비
비행,229,구스 베이비
위기,229,구스 베이비
최대,229,구스 베이비
싱글,229,구스 베이비
스,229,구스 베이비
추격,229,구스 베이비
공부,198,국경의 왕
친구,198,국경의 왕
동철,198,국경의 왕
여행,198,국경의 왕
각자,198,국경의 왕
도시,198,국경의 왕
며칠,198,국경의 왕
낯선,198,국경의 왕
유진,198,국경의 왕
